#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 08 17 20 50  32  4.2  6.4  0.86  4.76  4.16 356 1017.2   8.9  10.6   8.3 99.0 99.00
2018 08 17 21 50  41  6.5  8.4  0.85  4.17  4.44  14 1017.6   9.3  10.6   7.3 99.0 99.00
2018 08 17 22 50  73  5.8  6.7  0.87  4.76  4.38 360 1018.0   9.6  10.6   6.5 99.0 99.00
2018 08 17 23 50  47  5.4  6.4  0.83  4.55  4.46 357 1018.3  10.0  10.7   5.4 99.0 99.00
2018 08 18 00 50  19  6.9  8.3  0.81  5.00  4.30 358 1018.5  10.0  10.7   6.4 99.0 99.00
2018 08 18 01 50  21  5.8  7.0  0.75  5.00  4.07 349 1019.0   9.8  10.7   6.8 99.0 99.00
2018 08 18 02 50   7  8.2  9.7  0.72  5.00  3.98 349 1018.9  10.0  10.6   7.1 99.0 99.00
2018 08 18 03 50   7  8.4 10.0  0.84  5.26  3.98 357 1018.9   9.9  10.6   7.1 99.0 99.00
2018 08 18 04 50   7  9.3 11.0  0.88  4.17  3.88   7 1018.9   9.9  10.6   7.1 99.0 99.00
2018 08 18 05 50   9 10.2 12.3  1.15  4.35  3.90   2 1019.0   9.9  10.6   7.2 99.0 99.00
2018 08 18 06 50   7 10.3 12.7  1.40  4.55  4.28   9 1019.1   9.7  10.6   6.5 99.0 99.00
2018 08 18 07 50  12  9.9 12.3  1.46  5.00  4.51   9 1019.2   9.5  10.5   6.4 99.0 99.00
2018 08 18 08 50  16 10.2 12.0  1.58  5.26  4.51  18 1019.1   9.3  10.5   6.8 99.0 99.00
2018 08 18 09 50   3 10.3 12.3  1.71  5.56  4.84  14 1019.4   9.4  10.5   6.9 99.0 99.00
2018 08 18 10 50 355 10.7 12.9  1.71  5.88  4.95  14 1019.4   9.4  10.5   7.3 99.0 99.00
2018 08 18 11 50 354 10.9 12.8  1.91  5.88  5.11  15 1019.2   9.3  10.5   7.4 99.0 99.00
